SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,TRANSACTION_DATE
156089,0,Cash loans,F,Y,Y,0,157500.0,168102.0,15844.5,148500.0,Unaccompanied,Commercial associate,Higher education,Single / not married,House / apartment,0.020246,-9119,-411,-3988.0,-1804,11.0,1,1,0,1,0,0,,1.0,3,3,SUNDAY,7,0,0,0,1,1,0,Business Entity Type 3,,0.0807051335729182,0.511891801533151,0.0464,0.0887,0.9891,0.8504,0.0109,0.0,0.1379,0.1667,0.2083,0.0343,0.0378,0.0563,0.0,0.0,0.0473,0.0921,0.9891,0.8563,0.011,0.0,0.1379,0.1667,0.2083,0.0351,0.0413,0.0586,0.0,0.0,0.0468,0.0887,0.9891,0.8524,0.011,0.0,0.1379,0.1667,0.2083,0.0349,0.0385,0.0573,0.0,0.0,reg oper account,block of flats,0.0502,"Stone, brick",No,0.0,0.0,0.0,0.0,-64.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2025-05-15 20:52:23.432261
192813,0,Cash loans,M,N,N,1,135000.0,398016.0,26725.5,360000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,With parents,0.014464,-11644,-1192,-4124.0,-4136,,1,1,0,1,0,0,,2.0,2,2,WEDNESDAY,5,0,0,0,0,0,0,Business Entity Type 1,0.0818726700245654,0.4350846874726135,,0.1299,,0.9752,0.66,,0.0,0.0345,0.1667,,,,0.075,,0.0593,0.1324,,0.9752,0.6733,,0.0,0.0345,0.1667,,,,0.0781,,0.0627,0.1312,,0.9752,0.6645,,0.0,0.0345,0.1667,,,,0.0763,,0.0605,,block of flats,0.0719,Panel,No,0.0,0.0,0.0,0.0,-420.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,2.0,2025-05-15 21:52:23.432261
242703,0,Cash loans,F,Y,N,1,247500.0,675000.0,28728.0,675000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.0088659999999999,-18434,-2483,-10110.0,-1966,6.0,1,1,1,1,1,0,Managers,3.0,2,2,MONDAY,16,0,0,0,0,0,0,Insurance,,0.7417900665623277,0.5638350489514956,0.0052,,0.9518,,,0.0,0.0345,0.0,,0.0433,,0.0051,,0.0,0.0053,,0.9518,,,0.0,0.0345,0.0,,0.0443,,0.0054,,0.0,0.0052,,0.9518,,,0.0,0.0345,0.0,,0.0441,,0.0052,,0.0,,block of flats,0.0055,Wooden,No,0.0,0.0,0.0,0.0,-626.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,2025-05-15 22:52:23.432261
237462,0,Revolving loans,F,N,N,0,225000.0,315000.0,15750.0,315000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,Rented apartment,0.002042,-19491,365243,-3701.0,-2959,,1,0,0,1,1,0,,2.0,3,3,WEDNESDAY,12,0,0,0,0,0,0,XNA,0.8637319162271277,0.4084689906570571,0.3523399726917038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-1801.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0,2025-05-15 23:52:23.432261
399381,0,Cash loans,M,N,N,2,157500.0,1035000.0,33385.5,1035000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.008625,-10224,-1220,-4732.0,-2458,,1,1,0,1,0,0,Laborers,4.0,2,2,THURSDAY,19,0,0,0,0,0,0,Transport: type 2,0.2777241864351809,0.6217110558232247,0.4578995512067301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-301.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,2025-05-16 00:52:23.432261
170505,0,Cash loans,F,N,Y,0,301500.0,2250000.0,83385.0,2250000.0,Unaccompanied,Pensioner,Higher education,Married,House / apartment,0.0145199999999999,-21536,365243,-6211.0,-4831,,1,0,0,1,1,0,,2.0,2,2,THURSDAY,14,0,0,0,0,0,0,XNA,0.8565718732169487,0.3420278293317465,,0.1482,0.1188,0.9851,0.7959999999999999,0.0534,0.18,0.1552,0.3333,0.375,0.1172,0.1206,0.1527,0.001,0.0003,0.1891,0.0829,0.9851,0.804,0.0254,0.2014,0.1724,0.3333,0.375,0.099,0.0983,0.1192,0.0,0.0,0.1499,0.1302,0.9851,0.7987,0.0584,0.2,0.1724,0.3333,0.375,0.1152,0.1227,0.1551,0.0,0.0,reg oper account,block of flats,0.157,Panel,No,0.0,0.0,0.0,0.0,-494.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2025-05-16 01:52:23.432261
409216,0,Cash loans,F,N,N,1,94500.0,314100.0,16164.0,225000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.0060079999999999,-16617,-309,-1777.0,-110,,1,1,0,1,0,0,Sales staff,3.0,2,2,WEDNESDAY,9,0,0,0,0,0,0,Business Entity Type 3,,0.6209135690439691,0.3539876078507373,0.2959,0.1986,0.997,0.9592,,0.24,0.2069,0.3333,0.375,0.0312,0.2387,0.2581,0.0116,0.0118,0.3015,0.206,0.997,0.9608,,0.2417,0.2069,0.3333,0.375,0.0319,0.2608,0.2689,0.0117,0.0125,0.2987,0.1986,0.997,0.9597,,0.24,0.2069,0.3333,0.375,0.0318,0.2428,0.2627,0.0116,0.012,,block of flats,0.2065,Panel,No,1.0,1.0,1.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2025-05-16 02:52:23.432261
152744,0,Revolving loans,F,N,Y,0,153000.0,270000.0,13500.0,270000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.026392,-22921,-3770,-9297.0,-2343,,1,1,0,1,1,0,Laborers,1.0,2,2,WEDNESDAY,14,0,0,0,0,0,0,Industry: type 3,,0.6274282049690126,0.8038850611746273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-202.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,4.0,0.0,4.0,2025-05-16 03:52:23.432261
383036,0,Cash loans,M,N,Y,0,112500.0,490495.5,27387.0,454500.0,Unaccompanied,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0.030755,-22771,365243,-2391.0,-460,,1,0,0,1,1,0,,1.0,2,2,TUESDAY,13,0,0,0,0,0,0,XNA,,0.002711726798143,0.0005272652387098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,2025-05-16 04:52:23.432261
292999,0,Cash loans,F,N,Y,0,54000.0,183384.0,17995.5,162000.0,Family,Working,Secondary / secondary special,Widow,House / apartment,0.015221,-16768,-2623,-6841.0,-327,,1,1,1,1,1,0,Sales staff,1.0,2,2,MONDAY,8,0,0,0,0,0,0,Other,,0.5200546256648811,0.8027454758994178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.0,8.0,1.0,-1620.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0,2025-05-16 05:52:23.432261
